"step_n","position","position_return","omega","epsilon","phi","knowledge","decision","decision_norm","entropy","delta_t","cosine_similarity","delta_h_over_delta_d","frobenius_norm","lagrangian","classical_lagrangian","timestamp"
552,-0.3691974659198962,3.58083074307994,0.15,0.1,0.0,0.12057415211631908,0.49573716787871264,3.505391098266687,-8.359227023560185E-4,0.1,-0.9999999999999637,0.21702349305701274,0.24835719561192499,0.0042626255501052625,0.006176388398078405,"2025-07-24T10:11:52.568265Z"
553,-0.3815997654347043,3.4527803482817156,0.15,0.1,0.0,0.14169130456532186,0.49499062848726666,3.5001122650167185,-9.986594256350604E-4,0.1,-0.9999999999999686,0.21798812647224958,0.24835719561192499,0.005009036294852564,0.00605264487672746,"2025-07-24T10:11:52.668231Z"
554,-0.39398476775128,3.3328875496160455,0.15,0.1,0.0,0.16285934609896804,0.49424231247016537,3.494820869123183,-0.0011624309632242958,0.1,-0.9999999999999715,0.21885344406181184,0.24835719561192499,0.005757178521930282,0.00592314415035392,"2025-07-24T10:11:52.768197Z"
555,-0.4063504734175165,3.2203635937575013,0.15,0.1,0.0,0.1840750957134107,0.49349233579967816,3.4895177306342986,-0.0013271401080128125,0.1,-0.9999999999999745,0.2196190245244787,0.24835719561192499,0.006506929248532132,0.005787925874674995,"2025-07-24T10:11:52.868204Z"
556,-0.41869488052086734,3.114518067030843,0.15,0.1,0.0,0.20533535523940089,0.49274081508465845,3.484203674099611,-0.00149268842399843,0.1,-0.9999999999999761,0.22028443484924345,0.24835719561192499,0.007258164796849363,0.005647033553201107,"2025-07-24T10:11:52.968226Z"
557,-0.43101598501603144,3.0147440260228575,0.15,0.1,0.0,0.22663690983591492,0.49198786754797524,3.4788795284104137,-0.0016589763080423743,0.1,-0.9999999999999779,0.2208492304476574,0.24835719561192499,0.008010760827006214,0.005500514531470081,"2025-07-24T10:11:53.068213Z"
558,-0.44331178105369606,2.9205057468771454,0.15,0.1,0.0,0.24797652848770613,0.49123361100371266,3.4735461266385275,-0.0018259030528592214,0.1,-0.999999999999979,0.2213129552360011,0.24835719561192499,0.008764592370416465,0.005348419988756195,"2025-07-24T10:11:53.168219Z"
559,-0.45558026131027696,2.831328570561201,0.15,0.1,0.0,0.2693509645067027,0.4904781638341469,3.468204305873495,-0.0019933669111943616,0.1,-0.99999999999998,0.22167514166662125,0.24835719561192499,0.009519533863536999,0.005190804927230931,"2025-07-24T10:11:53.268255Z"
560,-0.4678194173186049,2.7467904373361067,0.15,0.1,0.0,0.2907569560371721,0.48972164496650955,3.4628549070582793,-0.002161265161139773,0.1,-0.9999999999999808,0.2219353107078084,0.24835719561192499,0.010275459181993593,0.005027728158580887,"2025-07-24T10:11:53.368208Z"
561,-0.4800272397995009,2.6665147914424034,0.15,0.1,0.0,0.3121912265645725,0.48896417384954766,3.4574987748235144,-0.002329494172537419,0.1,-0.9999999999999815,0.22209297177216208,0.24835719561192499,0.011032241675053662,0.004859252288071334,"2025-07-24T10:11:53.468247Z"
562,-0.49220171899418874,2.5901646040516915,0.15,0.1,0.0,0.3336504854280092,0.48820587042989166,3.452136757320404,-0.002497949474418259,0.1,-0.9999999999999821,0.2221476225931577,0.24835719561192499,0.011789754200420005,0.004685443696059964,"2025-07-24T10:11:53.568213Z"
563,-0.504340844997485,2.517437314121758,0.15,0.1,0.0,0.35513142833621614,0.48744685512824043,3.4467697060523217,-0.002666525823423505,0.1,-0.9999999999999825,0.22209874904828525,0.24835719561192499,0.012547869159319155,0.004506372516951419,"2025-07-24T10:11:53.668214Z"
564,-0.5164426080917144,2.4480605267992694,0.15,0.1,0.0,0.37663073788697826,0.4866872488153754,3.441398475705206,-0.0028351172731534958,0.1,-0.999999999999983,0.22194582492884776,0.24835719561192499,0.013306458531857341,0.004322112615601188,"2025-07-24T10:11:53.768250Z"
565,-0.5285049990812944,2.381788340248738,0.15,0.1,0.0,0.39814508408991334,0.4859271727880132,3.436023923976814,-0.0030036172443884974,0.1,-0.9999999999999838,0.22168831165451458,0.24835719561192499,0.014065393912616736,0.004132741561168525,"2025-07-24T10:11:53.868213Z"
566,-0.5405260096279316,2.3183981963407168,0.15,0.1,0.0,0.4196711248925284,0.48516674874450905,3.430646911404917,-0.003171918596124416,0.1,-0.9999999999999838,0.2213256579320737,0.24835719561192499,0.014824546546464128,0.0039383405984197975,"2025-07-24T10:11:53.968248Z"
567,-0.552503632586374,2.257688170056459,0.15,0.1,0.0,0.4412055067094661,0.4844060987604211,3.4252683011945138,-0.0033399136973655424,0.1,-0.9999999999999842,0.22085729935637208,0.24835719561192499,0.015583787364543803,0.0037389946164925127,"2025-07-24T10:11:54.068238Z"
568,-0.5644358623406651,2.1994746279217434,0.15,0.1,0.0,0.46274486495485834,0.48364534526394803,3.4198889590441484,-0.00350749449961545,0.1,-0.9999999999999842,0.22028265795270774,0.24835719561192499,0.01634298702042611,0.003534792115126665,"2025-07-24T10:11:54.168232Z"
569,-0.5763206951408405,2.1435901981522467,0.15,0.1,0.0,0.48428582457769653,0.48288461101125,3.4145097529714024,-0.0036745526100061096,0.1,-0.9999999999999845,0.21960114165777678,0.24835719561192499,0.01710201592638285,0.0033258251683704874,"2025-07-24T10:11:54.268220Z"
570,-0.5881561294400115,2.089882005146854,0.15,0.1,0.0,0.5058250006001378,0.48212401906166535,3.409131553137652,-0.0038409793650047886,0.1,-0.9999999999999848,0.21881214373825425,0.24835719561192499,0.017860744289760415,0.0031121893857737905,"2025-07-24T10:11:54.368149Z"
571,-0.5999401662317801,2.038210129015218,0.15,0.1,0.0,0.5273589986586553,0.4813636927528347,3.4037552316721684,-0.004006665904637069,0.1,-0.999999999999985,0.21791504214433505,0.24835719561192499,0.0186190421494212,0.0028939838710829273,"2025-07-24T10:11:54.468186Z"
572,-0.6116708093879262,1.9884462573679385,0.15,0.1,0.0,0.5488844155479478,0.4806037556757437,3.39838166249564,-0.004171503247164333,0.1,-0.9999999999999851,0.21690919879611065,0.24835719561192499,0.019376779412223943,0.0026713111784473715,"2025-07-24T10:11:54.568229Z"
573,-0.6233460659963119,1.9404725019421962,0.15,0.1,0.0,0.570397839767518,0.4798443316496961,3.3930117211432105,-0.0043353823641526755,0.1,-0.9999999999999855,0.21579395879959523,0.24835719561192499,0.020133825889513273,0.0024442772661606273,"2025-07-24T10:11:54.668208Z"
574,-0.6349639466989443,1.8941803570159728,0.15,0.1,0.0,0.5918958520708346,0.4790855446972292,3.3876462845871,-0.004498194255870547,0.1,-0.9999999999999853,0.2145686495907091,0.24835719561192499,0.020890051333588695,0.0022129914479455046,"2025-07-24T10:11:54.768206Z"
575,-0.6465224660301416,1.8494697801768192,0.15,0.1,0.0,0.6133750260169822,0.47832751901898435,3.3822862310589117,-0.004659830026951134,0.1,-0.9999999999999855,0.2132325800028885,0.24835719561192499,0.021645325474123244,0.00197756634181405,"2025-07-24T10:11:54.868170Z"
576,-0.6580196427547418,1.8062483789936996,0.15,0.1,0.0,0.6348319285247156,0.4775703789685416,3.3769324398716933,-0.004820180962256054,0.1,-0.9999999999999855,0.21178503925548725,0.24835719561192499,0.022399518054502063,0.0017381178165097504,"2025-07-24T10:11:54.968249Z"
577,-0.669453500206299,1.7644306896241166,0.15,0.1,0.0,0.6562631204288236,0.47681424902723446,3.371585791241841,-0.004979138602875995,0.1,-0.9999999999999853,0.2102252958600578,0.24835719561192499,0.023152498868051083,0.001494764935568803,"2025-07-24T10:11:55.068205Z"
578,-0.6808220666252109,1.723937535452532,0.15,0.1,0.0,0.6776651570387134,0.4760592537789531,3.366247166110935,-0.005136594822203952,0.1,-0.9999999999999853,0.20855259643869362,0.24835719561192499,0.023904137794126208,0.0012476298990175905,"2025-07-24T10:11:55.168254Z"
579,-0.6921233754967154,1.6846954555862195,0.15,0.1,0.0,0.699034588699122,0.4753055178849491,3.3609174459675852,-0.00529244190201697,0.1,-0.9999999999999858,0.2067661644520265,0.24835719561192499,0.02465430483403343,9.968379827314218E-4,"2025-07-24T10:11:55.268250Z"
580,-0.7033554658887029,1.6466361944873058,0.15,0.1,0.0,0.7203679613528648,0.47455316605865483,3.3555975126693722,-0.00544657260850174,0.1,-0.9999999999999859,0.20486519883116341,0.24835719561192499,0.025402870146750522,7.425174754893257E-4,"2025-07-24T10:11:55.368231Z"
581,-0.714516382789285,1.6096962452407666,0.15,0.1,0.0,0.7416618171055264,0.47380232304052655,3.3502882482649627,-0.005598880268159988,0.1,-0.999999999999986,0.20284887250856362,0.24835719561192499,0.026149704084421216,4.847996137492339E-4,"2025-07-24T10:11:55.468208Z"
582,-0.7256041774440611,1.5738164399922026,0.15,0.1,0.0,0.7629126947920015,0.47305311357292573,3.3449905348164948,-0.005749258843529446,0.1,-0.9999999999999862,0.20071633084271204,0.24835719561192499,0.026894677227592933,2.238185141760756E-4,"2025-07-24T10:11:55.568207Z"
583,-0.7366169076930262,1.5389415819649772,0.15,0.1,0.0,0.784117130544794,0.4723056623750481,3.3397052542222996,-0.005897603008656569,0.1,-0.9999999999999861,0.1984666899301866,0.24835719561192499,0.027637660420169557,-4.0288896042866076E-5,"2025-07-24T10:11:55.668206Z"
584,-0.7475526383070614,1.5050201142106103,0.15,0.1,0.0,0.8052716583639763,0.47156009411791366,3.334433288040049,-0.006043808224257795,0.1,-0.9999999999999865,0.19609903479951887,0.24835719561192499,0.028378524804050984,-3.073829510609697E-4,"2025-07-24T10:11:55.768273Z"
585,-0.7584094413239502,1.4720038208810233,0.15,0.1,0.0,0.826372810688718,0.4708165333994272,3.329175517310417,-0.0061877708125055155,0.1,-0.9999999999999865,0.1936124174778342,0.24835719561192499,0.029117141853431713,-5.773213203784733E-4,"2025-07-24T10:11:55.868233Z"
586,-0.7691853963838597,1.4398475573539955,0.15,0.1,0.0,0.8474171189702884,0.47007510471952335,3.3239328223813134,-0.006329388031377307,0.1,-0.9999999999999866,0.19100585492613784,0.24835719561192499,0.029853383408730984,-8.49959084955154E-4,"2025-07-24T10:11:55.968254Z"
587,-0.7798785910642345,1.4085090060093932,0.15,0.1,0.0,0.8684011142464346,0.4693359324554037,3.318706082732801,-0.006468558148505373,0.1,-0.9999999999999866,0.18827832683064957,0.24835719561192499,0.030587121710127625,-0.0011251488153840063,"2025-07-24T10:11:56.068234Z"
588,-0.7904871212140385,1.3779484548517456,0.15,0.1,0.0,0.8893213277170448,0.46859914083688126,3.313496176802741,-0.006605180514465576,0.1,-0.9999999999999865,0.18542877324551973,0.24835719561192499,0.03131822943067332,-0.0014027406520941213,"2025-07-24T10:11:56.168250Z"
589,-0.8010090912872933,1.348128596521609,0.15,0.1,0.0,0.9101742913209957,0.46786485392183963,3.308303981813267,-0.00673915563544537,0.1,-0.9999999999999866,0.18245609207430788,0.24835719561192499,0.03204657970895821,-0.0016825823875316675,"2025-07-24T10:11:56.268250Z"
590,-0.8114426146758502,1.3190143455339283,0.15,0.1,0.0,0.930956538314091,0.46713319557181915,3.3031303735981594,-0.006870385245230248,0.1,-0.9999999999999866,0.1793591363799847,0.24835719561192499,0.032772046181303895,-0.001964519550281518,"2025-07-24T10:11:56.368230Z"
591,-0.8217858140413419,1.2905726718406472,0.15,0.1,0.0,0.9516646038479927,0.46640428942774165,3.297976226431181,-0.006998772376451256,0.1,-0.9999999999999865,0.17613671151516178,0.24835719561192499,0.03349450301345903,-0.0022483954910800423,"2025-07-24T10:11:56.468250Z"
592,-0.8320368216462531,1.2627724490377967,0.15,0.1,0.0,0.9722950255500487,0.4656782588857812,3.2928424128554674,-0.007124221431034043,0.1,-0.9999999999999867,0.17278757205453474,0.24835719561192499,0.03421382493177371,-0.0025340514706735564,"2025-07-24T10:11:56.568252Z"
593,-0.842193779684056,1.2355843157319846,0.15,0.1,0.0,0.992844344103919,0.46495522707339393,3.287729803514031,-0.007246638249793427,0.1,-0.9999999999999863,0.16931041852113995,0.24835719561192499,0.03492988725382953,-0.0028213267494739507,"2025-07-24T10:11:56.668230Z"
594,-0.8522548406083478,1.2089805487504994,0.15,0.1,0.0,1.0133091038309048,0.4642353168255159,3.2826392669814473,-0.007365930181118282,0.1,-0.9999999999999866,0.16570389389020673,0.24835719561192499,0.03564256591850241,-0.003110058678963464,"2025-07-24T10:11:56.768208Z"
595,-0.8622181674609399,1.1829349470281227,0.15,0.1,0.0,1.0336858532718787,0.4635186506609374,3.2775716695968047,-0.007482006148690535,0.1,-0.9999999999999863,0.1619665798517534,0.24835719561192499,0.036351737515437216,-0.003400082794792444,"2025-07-24T10:11:56.868252Z"
596,-0.8720819341988341,1.1574227251317335,0.15,0.1,0.0,1.0539711457697225,0.4628053507588654,3.27252787529797,-0.0075947767181866336,0.1,-0.9999999999999869,0.15809699281960626,0.24835719561192499,0.037057279313912714,-0.0036912329115254394,"2025-07-24T10:11:56.968253Z"
597,-0.8818443260200337,1.1324204154993935,0.15,0.1,0.0,1.0741615400521716,0.46209553893568156,3.267508745457246,-0.0077041541629083,0.1,-0.9999999999999867,0.15409357966320467,0.24835719561192499,0.037759069291076926,-0.003983341218973147,"2025-07-24T10:11:57.068212Z"
598,-0.8915035396881308,1.1079057785684463,0.15,0.1,0.0,1.0942536008149661,0.4613893366219058,3.262515138718476,-0.007810052528292109,0.1,-0.9999999999999868,0.14995471314390688,0.24835719561192499,0.03845698615953411,-0.00427623838006258,"2025-07-24T10:11:57.168214Z"
599,-0.9010577838556113,1.0838577200564319,0.15,0.1,0.0,1.1142438993052153,0.4606868648393727,3.257547910835662,-0.007912387695248872,0.1,-0.9999999999999867,0.1456786870324495,0.24835719561192499,0.03915090939426449,-0.00456975363018456,"2025-07-24T10:11:57.268212Z"
600,-0.910505279385823,1.0602562147352979,0.15,0.1,0.0,1.1341290139048692,0.4599882441786324,3.2526079145131566,-0.008011077442284503,0.1,-0.9999999999999867,0.14126371088288156,0.24835719561192499,0.03984071925886005,-0.00486371487796284,"2025-07-24T10:11:57.368251Z"
601,-0.9198442596735492,1.0370822361081207,0.15,0.1,0.0,1.1539055307142048,0.45929359477657844,3.2476959992474757,-0.008106041506356023,0.1,-0.9999999999999866,0.13670790443456896,0.24835719561192499,0.04052629683105937,-0.0051579488073848715,"2025-07-24T10:11:57.468233Z"
602,-0.9290729709641302,1.0143176914576846,0.15,0.1,0.0,1.173570044135224,0.45860303629431676,3.2428130111708047,-0.008197201642418574,0.1,-0.9999999999999868,0.13200929161566238,0.24835719561192499,0.04120752402756661,-0.0054522809812364344,"2025-07-24T10:11:57.568248Z"
603,-0.9381896726710777,0.9919453617903489,0.15,0.1,0.0,1.1931191574548634,0.45791668789527856,3.2379597928962327,-0.008284481681618527,0.1,-0.9999999999999866,0.12716579411019446,0.24835719561192499,0.041884283628139944,-0.0057465359457770405,"2025-07-24T10:11:57.668249Z"
604,-0.9471926376921252,0.9699488462459935,0.15,0.1,0.0,1.2125494834279202,0.4572346682235859,3.233137183364777,-0.008367807588093424,0.1,-0.9999999999999871,0.12217522445957281,0.24835719561192499,0.042556459298936034,-0.006040537336594049,"2025-07-24T10:11:57.768224Z"
605,-0.956080152723659,0.9483125105868948,0.15,0.1,0.0,1.2318576448595906,0.4565570953826775,3.2283460176942422,-0.008447107514336196,0.1,-0.9999999999999868,0.11703527865205084,0.24835719561192499,0.04322393561509842,-0.006334107985574167,"2025-07-24T10:11:57.868234Z"
606,-0.9648505185734724,0.9270214394165744,0.15,0.1,0.0,1.2510402751875223,0.4558840869142006,3.223587127029961,-0.008522311855087485,0.1,-0.9999999999999866,0.1117435281631531,0.24835719561192499,0.04388659808257813,-0.006627070028925713,"2025-07-24T10:11:57.968252Z"
607,-0.973502050471789,0.9060613918125944,0.15,0.1,0.0,1.2700940190632828,0.4552157597771734,3.218861338397456,-0.00859335329971803,0.1,-0.9999999999999868,0.10629741139427765,0.24835719561192499,0.04454433315917663,-0.0069192450161892835,"2025-07-24T10:11:58.068213Z"
608,-0.9820330783804991,0.8854187600880433,0.15,0.1,0.0,1.289015532933143,0.45455223032742753,3.214169474557071,-0.008660166883067198,0.1,-0.9999999999999871,0.10069422446096385,0.24835719561192499,0.04519702827480162,-0.007210454020167039,"2025-07-24T10:11:58.168206Z"
609,-0.990441947300554,0.8650805314223325,0.15,0.1,0.0,1.3078014856180744,0.4538936142973328,3.2095123538606063,-0.008722690034704184,0.1,-0.9999999999999869,0.0949311112697873,0.24835719561192499,0.045844571850927905,-0.007500517747707529,"2025-07-24T10:11:58.268254Z"
610,-0.9987270175774625,0.8450342521267827,0.15,0.1,0.0,1.326448558892862,0.45324002677581043,3.2048907901099897,-0.008780862626579887,0.1,-0.9999999999999867,0.08900505282016834,0.24835719561192499,0.04648685331925602,-0.007789256651275061,"2025-07-24T10:11:58.368260Z"
611,-1.0068866652048365,0.8252679943313782,0.15,0.1,0.0,1.3449534480642338,0.4525915821886397,3.200305592418023,-0.008834627019041858,0.1,-0.9999999999999868,0.0829128556636637,0.24835719561192499,0.04712376313956297,-0.008076491041236821,"2025-07-24T10:11:58.468249Z"
612,-1.0149192821259294,0.805770324898709,0.15,0.1,0.0,1.363312862547905,0.45194839427906264,3.195757565071236,-0.008883928105182527,0.1,-0.9999999999999868,0.07665113943619865,0.24835719561192499,0.04775519281674033,-0.00836204119879747,"2025-07-24T10:11:58.568246Z"
613,-1.022823276533114,0.7865302763883195,0.15,0.1,0.0,1.3815235264444372,0.4513105760886896,3.19124750739487,-0.008928713353495387,0.1,-0.9999999999999869,0.07021632337996674,0.24835719561192499,0.048381034917015696,-0.008645727489511505,"2025-07-24T10:11:58.668215Z"
614,-1.030597073165247,0.7675373199105969,0.15,0.1,0.0,1.399582179113817,0.45067823993871015,3.1867762136200173,-0.008968932848816523,0.1,-0.999999999999987,0.06360461175981205,0.24835719561192499,0.04900118308335559,-0.008927370477300616,"2025-07-24T10:11:58.768208Z"
615,-1.0382391136028624,0.7487813397225045,0.15,0.1,0.0,1.417485575748647,0.45005149741141287,3.1823444727529493,-0.009004539331526121,0.1,-0.9999999999999868,0.056811978059229,0.24835719561192499,0.04961553205004776,-0.009206791038909694,"2025-07-24T10:11:58.868207Z"
616,-1.0457478565611469,0.7302526094319174,0.15,0.1,0.0,1.4352304879458568,0.44943045933201653,3.1779530684466377,-0.009035488234993568,0.1,-0.9999999999999868,0.049834147847308996,0.24835719561192499,0.05022397765646305,-0.009483810478720753,"2025-07-24T10:11:58.968229Z"
617,-1.0531217781806372,0.711941769686397,0.15,0.1,0.0,1.4528137042768299,0.4488152357508141,3.1736027788745007,-0.009061737721242778,0.1,-0.9999999999999871,0.042666580168963956,0.24835719561192499,0.050826416859997316,-0.009758250643862043,"2025-07-24T10:11:59.068226Z"
618,-1.0603593723155924,0.693839807235032,0.15,0.1,0.0,1.4702320308558507,0.4482059359256346,3.1692943766063824,-0.009083248714824984,0.1,-0.9999999999999865,0.035304447323401086,0.24835719561192499,0.05142274774819572,-0.010029934039530192,"2025-07-24T10:11:59.168211Z"
619,-1.0674591508199835,0.6759380352592248,0.15,0.1,0.0,1.4874822919067672,0.4476026683046206,3.1650286284867772,-0.009099984934881587,0.1,-0.9999999999999866,0.02774261285309986,0.24835719561192499,0.052012869550062,-0.010298683944459128,"2025-07-24T10:11:59.268164Z"
620,-1.0744196438310543,0.6582280748786703,0.15,0.1,0.0,1.5045613303277783,0.4470055405093263,3.1608062955153136,-0.00911191292538425,0.1,-0.9999999999999869,0.019975607561164885,0.24835719561192499,0.05259668264655728,-0.010564324526454845,"2025-07-24T10:11:59.368221Z"
621,-1.0812394000503949,0.640701837744649,0.15,0.1,0.0,1.5214660082542388,0.44641465931813556,3.1566281327294963,-0.00911900208354019,0.1,-0.999999999999987,0.011997603345021072,0.24835719561192499,0.05317408858029331,-0.010826680957928303,"2025-07-24T10:11:59.468235Z"
622,-1.0879169870224825,0.6233515096414031,0.15,0.1,0.0,1.5381932076193885,0.4458301306499996,3.152494889089726,-0.00912122468635409,0.1,-0.9999999999999868,0.0038023846135530857,0.24835719561192499,0.05374499006442668,-0.011085579531346125,"2025-07-24T10:11:59.568207Z"
623,-1.0944509914106335,0.6061695350214118,0.15,0.1,0.0,1.5547398307129028,0.4452520595484973,3.148407307366576,-0.009118555915336569,0.1,-0.9999999999999863,-0.004616682983435318,0.24835719561192499,0.05430929099076132,-0.01134084777452801,"2025-07-24T10:11:59.668203Z"
624,-1.1008400192703207,0.5891486024072397,0.15,0.1,0.0,1.5711028007371746,0.4446805501662148,3.1443661240303467,-0.009110973879354299,0.1,-0.9999999999999869,-0.013266686807466607,0.24835719561192499,0.054866896437067464,-0.011592314565711689,"2025-07-24T10:11:59.768254Z"
625,-1.1070826963197997,0.572281630596467,0.15,0.1,0.0,1.5872790623612185,0.44411570574944675,3.140372069142887,-0.009098459635615983,0.1,-0.9999999999999868,-0.022155204808290245,0.24835719561192499,0.055417712673627086,-0.01183981024831598,"2025-07-24T10:11:59.868230Z"
626,-1.1131776682080015,0.5555617556130932,0.15,0.1,0.0,1.6032655822721087,0.443557628623216,3.136425866251666,-0.009080997208790388,0.1,-0.9999999999999866,-0.03129034680840003,0.24835719561192499,0.05596164716901572,-0.012083166745317815,"2025-07-24T10:11:59.968170Z"
627,-1.1191236007796346,0.5389823183505583,0.15,0.1,0.0,1.6190593497238477,0.44300642017661274,3.1325282322861043,-0.0090585736082563,0.1,-0.9999999999999867,-0.04068079992654253,0.24835719561192499,0.05649860859513251,-0.012322217673176837,"2025-07-24T10:12:00.068219Z"
628,-1.1249191803374532,0.5225368528579449,0.15,0.1,0.0,1.6346573770835715,0.44246218084845,3.12867987745614,-0.009031178843482465,0.1,-0.9999999999999868,-0.05033587864058927,0.24835719561192499,0.057028506831490695,-0.012556798455224482,"2025-07-24T10:12:00.168249Z"
629,-1.130563113901638,0.5062190752227134,0.15,0.1,0.0,1.650056700374994,0.4419250101132332,3.1248815051530303,-0.008998805937540008,0.1,-0.9999999999999866,-0.06026558004763873,0.24835719561192499,0.057551252968782184,-0.012786746434446744,"2025-07-24T10:12:00.268251Z"
630,-1.1360541294662467,0.4900228730079921,0.15,0.1,0.0,1.6652543798189916,0.44139500646744373,3.121133811852347,-0.008961450938748772,0.1,-0.9999999999999868,-0.07048064496913485,0.24835719561192499,0.05806675931173042,-0.013011900985581047,"2025-07-24T10:12:00.368251Z"
631,-1.1413909762526788,0.47394229520403025,0.15,0.1,0.0,1.680247500371238,0.4408722674161321,3.117437487019184,-0.008919112930463144,0.1,-0.9999999999999868,-0.08099262563108173,0.24835719561192499,0.05857493938124676,-0.013232103626456708,"2025-07-24T10:12:00.468215Z"
632,-1.146572424960115,0.4579715426578585,0.15,0.1,0.0,1.695033172256784,0.4403568894598175,3.1137932130155237,-0.008871794039001693,0.1,-0.9999999999999867,-0.09181396076739484,0.24835719561192499,0.059075707915906744,-0.013447198128498223,"2025-07-24T10:12:00.568233Z"
633,-1.1515972680128805,0.44210495894635565,0.15,0.1,0.0,1.7096085315014964,0.4398489680816927,3.1102016650097584,-0.0088194994397278,0.1,-0.9999999999999868,-0.10295805911332516,0.24835719561192499,0.05956898087276303,-0.01365703062631942,"2025-07-24T10:12:00.668253Z"
634,-1.1564643198046825,0.42633702166033904,0.15,0.1,0.0,1.7239707404602556,0.43934859773512824,3.1066635108883323,-0.008762237361288778,0.1,-0.9999999999999869,-0.11443939240641068,0.24835719561192499,0.060054675427512895,-0.01386144972633559,"2025-07-24T10:12:00.768258Z"
635,-1.1611724169396827,0.41066233407091945,0.15,0.1,0.0,1.7381169883418164,0.43885587183147345,3.1031794111694846,-0.008700019088023996,0.1,-0.9999999999999868,-0.12627359918217865,0.24835719561192499,0.060532709974039145,-0.014060306614312519,"2025-07-24T10:12:00.868219Z"
636,-1.1657204184703538,0.39507561714879424,0.15,0.1,0.0,1.7520444917302438,0.4383708827281505,3.0997500189190577,-0.008632858960550804,0.1,-0.9999999999999869,-0.13847760086368407,0.24835719561192499,0.061003004123343585,-0.014253455161785986,"2025-07-24T10:12:00.968203Z"
637,-1.1701072061320765,0.37957170191116285,0.15,0.1,0.0,1.7657504951028224,0.43789372171703544,3.096375979668342,-0.00856077437454046,0.1,-0.9999999999999867,-0.15106973187497671,0.24835719561192499,0.06146547870189345,-0.014440752031272763,"2025-07-24T10:12:01.068213Z"
638,-1.1743316845744323,0.3641455220712411,0.15,0.1,0.0,1.7792322713443522,0.43742447901312315,3.093057931333923,-0.008483785777696729,0.1,-0.9999999999999866,-0.16406988580076032,0.24835719561192499,0.06192005574940162,-0.014622056780202102,"2025-07-24T10:12:01.168256Z"
639,-1.178392781589148,0.34879210696735724,0.15,0.1,0.0,1.7924871222577345,0.43696324374347056,3.089796504139498,-0.008401916664950182,0.1,-0.9999999999999866,-0.17749967995338484,0.24835719561192499,0.06236665851606219,-0.014797231963494221,"2025-07-24T10:12:01.268254Z"
640,-1.1822894483346476,0.3335065747496049,0.15,0.1,0.0,1.8055123790707572,0.4365101039364126,3.0865923205396255,-0.008315193571883043,0.1,-0.9999999999999866,-0.1913826411106837,0.24835719561192499,0.06280521145926367,-0.014966143234714636,"2025-07-24T10:12:01.368253Z"
641,-1.1860206595571698,0.3182841258038143,0.15,0.1,0.0,1.8183054029389882,0.43606514651104605,3.0834459951453574,-0.00822364606640019,0.1,-0.9999999999999867,-0.20574441567626017,0.24835719561192499,0.06323564023980263,-0.015128659445730955,"2025-07-24T10:12:01.468207Z"
642,-1.189585413808407,0.3031200363928515,0.15,0.1,0.0,1.830863585444682,0.43562845726697474,3.0803581346517337,-0.0081273067386603,0.1,-0.9999999999999868,-0.22061300810092366,0.24835719561192499,0.06365787171762155,-0.015284652744803673,"2025-07-24T10:12:01.568255Z"
643,-1.1929827336596226,0.2880096524970606,0.15,0.1,0.0,1.8431843490916144,0.4352001208743112,3.0773293377670776,-0.00802621118928823,0.1,-0.9999999999999867,-0.2360190520899344,0.24835719561192499,0.06407183394709405,-0.01543399867303916,"2025-07-24T10:12:01.668205Z"
644,-1.1962116659122106,0.27294838383643544,0.15,0.1,0.0,1.8552651477957511,0.4347802208639272,3.074360195144062,-0.00792039801588212,0.1,-0.9999999999999869,-0.25199612000328875,0.24835719561192499,0.06447745617188325,-0.015576576259135085,"2025-07-24T10:12:01.768251Z"
645,-1.1992712818046463,0.25793169805683547,0.15,0.1,0.0,1.8671034673716613,0.4343688396179481,3.0714512893124906,-0.0078099087978353195,0.1,-0.9999999999999866,-0.2685810768641861,0.24835719561192499,0.06487466881939713,-0.015712268112353055,"2025-07-24T10:12:01.868202Z"
646,-1.2021606772157991,0.24295511506578804,0.15,0.1,0.0,1.8786968260145882,0.43396605836048396,3.0686031946137584,-0.0076947880794931214,0.1,-0.9999999999999868,-0.28581448666948417,0.24835719561192499,0.06526340349486721,-0.015840960513644867,"2025-07-24T10:12:01.968222Z"
647,-1.2048789728645604,0.2280142015008935,0.15,0.1,0.0,1.8900427747780872,0.4335719571485901,3.065816477136932,-0.007575083351660661,0.1,-0.9999999999999866,-0.3037410802601026,0.24835719561192499,0.06564359297507578,-0.01596254350487181,"2025-07-24T10:12:02.068252Z"
648,-1.207425314505746,0.21310456531687172,0.15,0.1,0.0,1.901138898047145,0.4331866148634505,3.0630916946564097,-0.007450845031486182,0.1,-0.9999999999999867,-0.3224102958995906,0.24835719561192499,0.06601517120175844,-0.0160769109760478,"2025-07-24T10:12:02.168249Z"
649,-1.2097988731222409,0.1982218504771228,0.15,0.1,0.0,1.911982814006693,0.4328101092017781,3.0604293965711102,-0.007322126440736396,0.1,-0.9999999999999865,-0.3418769061214837,0.24835719561192499,0.06637807327470811,-0.016183960750541408,"2025-07-24T10:12:02.268252Z"
